track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop Muzik,M,60,0.935,0.833,1,-7.493,1,0.0438,0.279,1.61e-05,0.0792,0.967,108.914
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,83,0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022
Pop Out (feat. Lil Tjay),Polo G,73,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112
"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,58,0.711,0.228,0,-12.85,1,0.172,0.776,0.0,0.122,0.548,88.714
Popular Monster,Falling In Reverse,69,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107
Popular Monster,Falling In Reverse,69,0.461,0.898,3,-3.982,0,0.0931,0.0083,0.0,0.0963,0.353,165.079
Dior,Pop Smoke,76,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096
Poppin,Yeat,65,0.705,0.613,7,-7.441,1,0.123,0.262,6.97e-06,0.198,0.259,74.521
Big Poppa - 2005 Remaster,The Notorious B.I.G.,80,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492
"Pop, Lock & Drop It",Huey,47,0.745,0.568,0,-8.332,1,0.164,0.000756,0.0,0.159,0.493,144.141
Pop Out,Big Boogie,59,0.831,0.715,10,-5.121,0,0.251,0.0354,0.0,0.273,0.443,135.98
Popular Song,MIKA,53,0.666,0.81,8,-4.574,1,0.0458,0.152,0.0,0.0613,0.811,99.023
Pop Star,Coco & Clair Clair,63,0.891,0.67,0,-7.256,1,0.135,0.203,0.00273,0.11,0.938,128.046
POP!,NAYEON,71,0.795,0.859,2,-2.994,1,0.0542,0.0361,0.0,0.0321,0.356,96.986
Pop That,French Montana,54,0.734,0.892,2,-1.856,1,0.125,0.0648,0.0,0.58,0.605,138.031
POPTHATRUNK,1nonly,63,0.73,0.782,10,-3.884,0,0.05,0.0766,0.0338,0.106,0.593,180.068
Pop like this Pt. 2,prodbycpkshawn,56,0.842,0.461,1,-5.189,1,0.0675,0.000624,0.623,0.0545,0.48,100.001
Poppin' My Collar (feat. Project Pat),Three 6 Mafia,59,0.729,0.795,7,-4.579,1,0.144,0.354,0.0,0.536,0.856,146.747
POPSTAR (feat. Drake),DJ Khaled,65,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071
Poppin' Them Thangs,G-Unit,69,0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017
POP/STARS,K/DA,67,0.566,0.769,7,-4.342,1,0.0872,0.0183,0.0,0.108,0.385,170.036
POP IN 2,B小町,62,0.689,0.88,2,-3.813,1,0.0816,0.0216,0.0315,0.336,0.733,176.011
Pop like this Pt. 2,prodbycpkshawn,65,0.842,0.461,1,-5.189,1,0.0677,0.000624,0.623,0.0545,0.481,100.001
Pop like this Pt. 2 - Slowed,prodbycpkshawn,62,0.772,0.423,1,-8.452,1,0.0562,0.00905,0.516,0.14,0.281,157.156
Pope Is a Rockstar,SALES,65,0.725,0.446,4,-8.958,0,0.0287,0.85,0.243,0.107,0.311,90.024
Pop Star,Coco & Clair Clair,54,0.891,0.67,0,-7.256,1,0.135,0.203,0.00273,0.11,0.938,128.046
Pop,OsamaSon,60,0.588,0.484,8,-7.058,0,0.153,0.0219,0.0,0.156,0.337,161.178
Pop Muzik (12 Inch Version),M,52,0.94,0.727,1,-9.982,1,0.0358,0.124,0.00021,0.0808,0.969,110.796
Welcome To The Party,Pop Smoke,64,0.63,0.724,2,-5.543,1,0.105,0.0138,6.92e-05,0.196,0.237,143.024
pop ur shit,21 Savage,61,0.853,0.533,4,-6.647,1,0.126,0.263,0.00406,0.134,0.306,123.066
Got It On Me,Pop Smoke,70,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834
WHATS POPPIN,Jack Harlow,74,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062
Poppin' - Main,Chris Brown,56,0.767,0.419,9,-3.011,0,0.0369,0.00895,0.0,0.0521,0.547,122.963
Popular Loner,Rod Wave,56,0.684,0.62,10,-9.029,1,0.188,0.0541,0.0,0.142,0.773,159.893
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,73,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971
Pop like this Pt. 2 - Slowed,prodbycpkshawn,44,0.772,0.423,1,-8.452,1,0.0562,0.00905,0.516,0.14,0.281,157.156
"Popper: Dance of the Elves, Op. 39",David Popper,25,0.425,0.243,2,-22.623,1,0.0332,0.974,0.937,0.317,0.47,88.572
Mood Swings (feat. Lil Tjay),Pop Smoke,74,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,54,0.844,0.677,1,-6.216,1,0.158,0.0406,8.32e-05,0.407,0.841,98.995
"Pop, Lock & Drop It - Video Edit",Huey,54,0.723,0.644,11,-6.863,0,0.222,0.00308,0.0,0.352,0.645,144.09
What You Know Bout Love,Pop Smoke,77,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995
Pop Out (feat. Nardo Wick),Lil Baby,56,0.464,0.558,1,-6.973,1,0.289,0.00275,0.000275,0.223,0.346,158.881
Popa,Ice Spice,50,0.647,0.633,2,-6.946,1,0.0531,0.0188,0.0,0.215,0.23,155.954
Pop Goes the Weasel,Mother Goose Club,59,0.834,0.571,8,-4.977,0,0.0615,0.64,0.0,0.053,0.916,109.937
Pop,*NSYNC,56,0.706,0.861,11,-6.684,1,0.154,0.0341,0.0,0.127,0.923,119.946
Pop Style,Drake,57,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053
POP,Lil Uzi Vert,52,0.741,0.599,1,-6.672,0,0.419,0.00961,0.0,0.785,0.276,139.891
Poplar St,Glass Animals,56,0.575,0.446,4,-7.802,0,0.0296,0.247,0.00567,0.137,0.259,68.985
POP,Lil Uzi Vert,43,0.741,0.599,1,-6.672,0,0.419,0.00961,0.0,0.785,0.276,139.891
Poppy Puppy,Kim Akvileja,59,0.622,0.0904,9,-24.54,1,0.0583,0.993,0.897,0.0886,0.655,120.325
Rock,Stepz,64,0.9,0.743,1,-5.898,1,0.222,0.0486,0.0,0.304,0.729,150.0
Rock and A Hard Place,Bailey Zimmerman,76,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991
Rocky Top,The Osborne Brothers,48,0.549,0.673,11,-5.373,1,0.0296,0.0763,0.000231,0.331,0.923,156.814
Rock Your Body,Justin Timberlake,78,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972
Rockstar,Nickelback,62,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,80,0.601,0.532,10,-9.119,1,0.0286,0.433,5.95e-06,0.0925,0.342,136.576
rockstar (feat. 21 Savage),Post Malone,80,0.585,0.52,5,-6.136,0,0.0713,0.124,7.75e-05,0.131,0.129,159.798
Rock with You - Single Version,Michael Jackson,79,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031
Rockstar,LISA,85,0.668,0.628,8,-4.692,1,0.046,0.129,0.0,0.0293,0.568,140.053
Rocky Theme,Gonna Fly Now,46,0.328,0.969,5,-3.591,1,0.121,0.0082,0.926,0.224,0.322,97.417
ROCKSTAR,Junior H,79,0.761,0.658,11,-7.188,1,0.0429,0.292,1.55e-06,0.137,0.895,125.036
Rocketeer,Far East Movement,64,0.664,0.845,4,-6.115,0,0.0462,0.181,0.0,0.267,0.357,96.005
Rock N Roll,Ken Carson,71,0.673,0.571,1,-7.631,1,0.0488,0.0737,0.0,0.117,0.042,141.957
Rock Lobster,The B-52's,59,0.592,0.882,8,-8.315,1,0.0468,0.00884,0.0155,0.0506,0.442,92.157
Rockstar - 2020 Remaster,Nickelback,72,0.621,0.913,0,-3.352,1,0.0385,0.0477,0.0,0.314,0.679,144.073
Rock'n Me,Steve Miller Band,68,0.695,0.582,4,-11.35,1,0.0651,0.297,0.0,0.123,0.892,122.433
Lovers Rock,TV Girl,85,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97
Rock Me,One Direction,67,0.506,0.909,8,-3.629,1,0.0528,0.0261,0.0,0.155,0.814,168.021
Rock the Casbah - Remastered,The Clash,73,0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885
Rock Salt and Nails (Live),Tyler Childers,66,0.449,0.296,0,-12.608,1,0.0361,0.892,0.000755,0.892,0.139,139.828
Rock You Like A Hurricane,Scorpions,69,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697
rock your hips,310babii,62,0.866,0.759,11,-6.55,0,0.221,0.047,0.0,0.102,0.762,104.997
ROCKSTAR (feat. Roddy Ricch),DaBaby,73,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977
Rock That Body,Black Eyed Peas,59,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.991
Rock And Roll All Nite,KISS,72,0.654,0.929,1,-5.906,1,0.0998,0.0474,0.0,0.0538,0.902,144.769
Rockin' Around The Christmas Tree,Brenda Lee,70,0.598,0.47,8,-8.744,1,0.0496,0.617,0.0,0.505,0.879,67.086
Rocky Mountain High,John Denver,65,0.455,0.437,4,-11.411,1,0.0278,0.314,0.0,0.501,0.724,81.396
ROCKMAN,Mk.gee,65,0.781,0.501,3,-9.767,1,0.0333,0.66,3.78e-06,0.0908,0.961,134.014
The Rock Show,blink-182,69,0.409,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.144
Rock Wit U (Awww Baby),Ashanti,67,0.71,0.797,4,-3.006,0,0.0583,0.409,0.0,0.16,0.849,94.998
Rocky Top,Conway Twitty,51,0.524,0.572,7,-12.611,1,0.0281,0.0151,3.06e-06,0.348,0.959,146.682
Rockstar Made,Playboi Carti,68,0.773,0.612,8,-5.73,1,0.232,0.0398,0.0,0.142,0.381,149.999
Rock N Roll McDonalds,Wesley Willis,41,0.701,0.556,3,-11.861,1,0.0373,0.07,0.000173,0.104,0.667,170.142
Rock and Roll - Remaster,Led Zeppelin,67,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613
Rocky Top - Live,Dolly Parton,30,0.504,0.908,5,-7.229,1,0.139,0.337,0.0,0.746,0.706,156.2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,74,0.717,0.73,9,-4.729,0,0.0568,0.383,0.0,0.398,0.792,102.002
Rockstar - Extended,LISA,68,0.645,0.688,1,-4.799,1,0.043,0.0606,1.4e-06,0.0601,0.587,139.957
ROCKSTAR,HARDY,60,0.542,0.962,0,-3.096,1,0.0911,0.000474,0.00103,0.166,0.659,150.025
Rocky Raccoon - Remastered 2009,The Beatles,55,0.599,0.363,7,-11.728,1,0.0315,0.333,0.0,0.243,0.648,79.456
Rock Of Ages,Def Leppard,61,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,58,0.724,0.759,9,-3.996,0,0.0542,0.412,0.0,0.437,0.765,101.946
Rockin' Robin,Bobby Day,54,0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992
Rocket Queen,Guns N' Roses,59,0.446,0.978,5,-5.275,0,0.0443,0.0305,0.162,0.0377,0.399,111.795
Rockin' That Shit,The-Dream,60,0.672,0.62,8,-4.865,1,0.0442,0.124,0.0,0.364,0.626,77.993
Rockstar Lifestyle,Ken Carson,60,0.679,0.703,1,-5.066,1,0.213,0.000963,0.0,0.323,0.191,139.777
Rock The Boat,Aaliyah,62,0.637,0.725,5,-5.073,1,0.0333,0.0702,0.00438,0.203,0.415,92.99
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,62,0.659,0.936,2,-3.519,1,0.0606,0.283,0.0207,0.192,0.884,161.983
Rock My Body,R3HAB,75,0.662,0.821,2,-4.103,0,0.13,0.202,0.0,0.522,0.47,124.077
Rocky Mountain Way,Joe Walsh,59,0.493,0.376,4,-15.045,1,0.0435,0.0241,0.792,0.102,0.419,86.47
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,70,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965
Jazz,Lil Double 0,56,0.652,0.747,11,-3.871,1,0.231,0.2,0.0,0.909,0.611,139.966
jazz is for ordinary people,berlioz,67,0.502,0.474,5,-11.424,0,0.0543,0.711,0.787,0.112,0.312,118.079
Jazz (We've Got),A Tribe Called Quest,60,0.822,0.479,11,-15.962,1,0.271,0.719,4.42e-05,0.124,0.72,92.461
Don't Stop Me Now - Remastered 2011,Queen,73,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271
Jazz,Mick Jenkins,47,0.636,0.61,8,-9.665,1,0.119,0.25,0.000121,0.113,0.296,125.227
Jazz,Aylior,37,0.698,0.254,5,-15.289,1,0.0498,0.746,0.875,0.104,0.504,88.17
Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,61,0.322,0.184,0,-18.312,0,0.0338,0.984,0.902,0.0813,0.356,107.847
Jazz,We Dream In Anime,30,0.227,0.0457,0,-28.213,1,0.0348,0.884,0.991,0.395,0.224,148.491
Jazzy Belle,Outkast,53,0.878,0.65,11,-8.08,0,0.252,0.0178,0.0,0.0408,0.101,92.03
Jazz,Cozy Fall Jazz,22,0.572,0.154,6,-20.874,0,0.057,0.817,0.918,0.0995,0.658,96.322
Oncle Jazz,Men I Trust,66,0.712,0.311,0,-16.776,0,0.0535,0.528,0.761,0.0812,0.242,139.959
Jazz,Burke Graham,19,0.62,0.506,11,-8.812,0,0.489,0.754,0.0,0.18,0.696,144.537
Fat Bottomed Girls - Remastered 2011,Queen,64,0.337,0.684,2,-7.674,1,0.0495,0.0319,6.57e-06,0.342,0.404,88.772
Jazz,The Fumes,26,0.366,0.931,1,-2.91,0,0.0933,0.0917,8.83e-06,0.115,0.435,170.185
Jazz Hands,XANAKIN SKYWOK,49,0.749,0.849,8,-6.045,1,0.22,0.15,0.0,0.252,0.777,107.519
Jazz,iwamizu,22,0.72,0.721,5,-3.97,1,0.0486,0.227,0.381,0.362,0.579,89.141
Somedays,Sonny Fodera,78,0.671,0.753,4,-6.045,0,0.0298,0.019,1.29e-05,0.177,0.543,127.926
Jazz,The Durutti Column,20,0.544,0.505,4,-13.241,1,0.0852,0.323,0.802,0.283,0.41,112.194
Jazz Junction,James Earle Trio,49,0.412,0.163,7,-17.951,1,0.0316,0.933,0.475,0.0949,0.262,103.647
Jazz,Paul F. Tompkins,13,0.563,0.477,2,-8.51,1,0.932,0.882,0.0,0.959,0.802,74.652
Jazz Odyssey,Red Brick Lane,49,0.364,0.169,5,-15.792,1,0.034,0.91,0.684,0.108,0.0838,87.007
Jazz,K.A.A.N.,14,0.587,0.969,6,-7.04,1,0.331,0.424,0.0,0.312,0.601,174.021
Jazz,David Crowe,12,0.502,0.674,6,-15.051,1,0.787,0.768,0.0,0.395,0.393,112.964
Jazz Wobbles,The Orchestrator,40,0.741,0.243,8,-16.655,1,0.0375,0.659,0.698,0.132,0.262,115.996
Jazz,DJ Zeeter,10,0.821,0.609,2,-6.346,0,0.051,0.256,0.819,0.103,0.772,113.074
Jazz Noir,Sparrow & Bird,47,0.45,0.168,5,-16.53,0,0.0338,0.888,0.574,0.14,0.117,84.623
JAZZ,Kyung dasom,19,0.459,0.446,6,-5.485,0,0.0463,0.424,0.0,0.12,0.574,177.645
JazzRevelations,Zmeyev,47,0.867,0.359,3,-8.23,0,0.0885,0.0957,0.165,0.116,0.516,84.95
Jazz,Caramelos De Cianuro,21,0.449,0.901,8,-5.597,1,0.327,0.0551,4.75e-05,0.439,0.386,180.985
Jazz Bar Classics Are Coming Home Tonight,C.O.D.J,51,0.768,0.0981,5,-21.658,1,0.0548,0.982,0.806,0.104,0.579,94.915
Jazz,Louie Zong,11,0.637,0.308,4,-16.557,1,0.0553,0.964,0.922,0.202,0.228,87.106
Jazz Noir,Norberg,46,0.335,0.127,5,-12.559,1,0.0327,0.981,0.0018,0.0882,0.193,53.513
Jazz,Jazz Music Lounge,8,0.481,0.125,7,-22.935,0,0.0386,0.91,0.915,0.112,0.251,142.493
Jazzy Feelings,Shane Fierce,40,0.758,0.485,4,-15.996,0,0.0655,0.065,0.736,0.169,0.376,116.999
Jazz,trompette,16,0.706,0.217,0,-15.439,0,0.0367,0.0698,0.00111,0.0905,0.8,139.944
Jazz Suite No. 1: I. Waltz,Dmitri Shostakovich,48,0.247,0.0639,3,-25.269,1,0.039,0.966,0.681,0.115,0.232,173.092
Jazz,Roni Size,14,0.743,0.599,6,-5.902,0,0.0688,0.0209,0.767,0.104,0.366,159.8
Jazzy Night,Miki Matsubara,48,0.72,0.65,11,-9.036,0,0.0317,0.376,7.83e-06,0.214,0.91,134.937
Jazz,Harvey Doherty,17,0.599,0.401,11,-11.708,1,0.0402,0.756,0.0,0.193,0.561,109.431
Jazz Bar,Dreamcatcher,46,0.669,0.708,11,-5.923,1,0.142,0.704,0.0,0.335,0.725,93.767
Jazz,Bobby Hutcherson,10,0.443,0.682,2,-9.501,0,0.0302,0.869,0.00576,0.162,0.62,112.16
Jazz Noir Nightscape,James Earle Trio,45,0.375,0.151,8,-17.298,1,0.039,0.575,0.08,0.102,0.107,88.294
jazz,EBK TEEJ,6,0.817,0.504,1,-13.35,0,0.323,0.185,4.7e-05,0.0881,0.167,99.934
Jazz Suite No. 2: VI. Waltz II,Dmitri Shostakovich,41,0.213,0.177,0,-17.848,0,0.0292,0.975,0.869,0.079,0.384,89.316
Jazz,Eva,39,0.739,0.572,6,-6.537,0,0.0702,0.0292,0.0,0.0771,0.386,159.966
Jazz Suite No. 2: II. Lyric Waltz,Dmitri Shostakovich,48,0.309,0.137,0,-19.267,0,0.0313,0.95,0.728,0.17,0.274,100.391
Jazz,Mac Kay,17,0.74,0.462,9,-8.903,0,0.0397,0.519,1.93e-05,0.0746,0.436,89.981
jazzyfav.,yeyts.,47,0.875,0.0758,9,-12.55,0,0.288,0.241,0.718,0.115,0.852,95.993
Jazz,Excelência,13,0.579,0.521,9,-12.287,0,0.173,0.841,1.59e-06,0.136,0.679,152.097
Jazzie Robinson,Mellow Fellow,42,0.682,0.308,3,-15.458,1,0.0428,0.454,0.926,0.11,0.866,90.437
Hip Hop Hooray,Naughty By Nature,66,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.2
Hip-Hop,Dead Prez,57,0.725,0.737,4,-7.453,1,0.324,0.000633,0.00417,0.109,0.219,77.162
Hip Hop,Mos Def,52,0.592,0.861,1,-5.177,1,0.249,0.024,0.0,0.492,0.794,90.238
Beautiful,Snoop Dogg,40,0.891,0.746,11,-4.71,0,0.134,0.272,0.0,0.104,0.962,101.007
Hip Hop Phile,BTS,54,0.796,0.878,1,-3.325,1,0.185,0.171,0.0,0.234,0.795,144.0
Hip Hop,DJ Khaled,33,0.646,0.859,11,-4.934,1,0.333,0.159,0.0,0.108,0.628,77.057
Hip-Hop Saved My Life (feat. Nikki Jean),Lupe Fiasco,47,0.705,0.684,0,-5.759,1,0.145,0.0353,0.0,0.206,0.246,100.006
Dance,HiTi HoP,24,0.769,0.797,4,-8.891,0,0.0822,0.0196,0.673,0.06,0.968,100.001
Hip Hop Is Dead,Nas,37,0.758,0.74,0,-5.761,0,0.203,0.0156,0.0,0.229,0.613,110.831
Still Dreaming,Nas,61,0.546,0.827,7,-8.499,1,0.214,0.105,0.000255,0.14,0.598,120.262
Love,HiTi HoP,24,0.594,0.804,2,-9.757,1,0.0337,0.00126,0.841,0.349,0.533,108.003
Hip Hop Police - Main,Chamillionaire,34,0.815,0.906,7,-5.052,1,0.206,0.056,0.0,0.39,0.707,98.037
Party Up,DMX,23,0.487,0.954,11,-1.584,1,0.326,0.0798,0.0,0.163,0.596,202.532
Hip Hopper (feat. Lil Yachty),Blac Youngsta,32,0.931,0.517,2,-8.017,1,0.446,0.00162,0.0,0.108,0.45,129.111
Hip Hop - Mashup,Trinix Remix,45,0.484,0.806,1,-6.915,0,0.408,0.0404,3.28e-05,0.841,0.681,103.512
Hip Hop,Static-X,29,0.414,0.895,9,-7.037,1,0.299,0.00521,0.0,0.171,0.48,154.826
Hip Hop Fury,GZA,31,0.526,0.83,7,-6.161,1,0.332,0.0453,0.0351,0.0755,0.632,172.266
Hip Hop Kids,Portugal. The Man,39,0.433,0.782,9,-6.359,1,0.0363,0.0108,0.0,0.38,0.498,94.995
HIP-HOP,P-Lo,19,0.751,0.714,11,-3.334,1,0.183,0.241,0.0,0.11,0.342,96.069
Hip Hop,August Alsina,29,0.596,0.796,7,-5.804,0,0.146,0.177,0.0,0.153,0.759,80.092
Hip-Hop Hasta la Tumba,Maniako,50,0.902,0.623,1,-7.483,0,0.105,0.0795,7.63e-05,0.174,0.967,89.993
Mirror Mirror,Mac Black,26,0.874,0.649,6,-13.312,1,0.36,0.495,0.0,0.144,0.8,94.996
Hip Hop,Joell Ortiz,31,0.506,0.952,1,-2.589,0,0.393,0.337,0.0,0.561,0.837,87.021
Hip Hop Junkies,Nice & Smooth,36,0.926,0.427,6,-10.731,1,0.115,0.0258,0.000281,0.329,0.634,98.73
Hip Hoop Lounge Jazz Room - Instrumental,Freidbeat,20,0.675,0.641,7,-13.83,0,0.386,0.04,0.485,0.186,0.627,180.071
Hip Hop (Caminaré),Santa Fe Klan,42,0.803,0.745,6,-7.983,1,0.347,0.0354,0.0,0.265,0.619,82.75
Hip Hop Hooray,Naughty By Nature,25,0.869,0.781,6,-7.798,0,0.0679,0.0663,0.0,0.313,0.769,99.376
Hip Hop,Eheodore Constance,25,0.545,0.627,6,-10.161,1,0.369,0.151,0.0,0.081,0.644,81.799
Hip Hop Is Dead,Nas,43,0.762,0.742,0,-5.771,0,0.211,0.0145,0.0,0.227,0.608,110.85
Hip-Hip,Campel,18,0.808,0.776,8,-11.554,1,0.2,0.0391,0.845,0.124,0.438,79.968
Hip Hop,Meek Mill,24,0.575,0.88,10,-7.628,0,0.246,0.00253,0.0,0.212,0.425,91.428
Devine Variety,Mama Aiuto,15,0.638,0.751,2,-5.832,0,0.0433,0.117,0.91,0.105,0.703,82.019
Hip Hop,Natasha Leggero,22,0.462,0.865,11,-6.256,0,0.945,0.871,0.0,0.786,0.351,77.841
Beautiful,Snoop Dogg,26,0.904,0.698,11,-6.384,0,0.126,0.262,0.0,0.0802,0.962,101.009
HIP HOP,JOOHONEY,33,0.737,0.752,9,-4.745,1,0.128,0.0018,0.0,0.174,0.81,157.993
Hip Hop Star (feat. Big Boi & Sleepy Brown),Beyoncé,34,0.736,0.651,6,-8.933,1,0.124,0.00265,0.000238,0.0838,0.971,166.572
Hip-Hop,Dead Prez,20,0.583,0.543,4,-14.299,1,0.403,0.000642,0.00329,0.111,0.192,78.221
Hip Hop,El Moreno Mexicano,20,0.863,0.512,11,-8.991,1,0.372,0.241,6.52e-06,0.104,0.703,77.99
300 Violin Orchestra,Jorge Quintero,56,0.591,0.75,1,-6.599,0,0.0479,0.342,0.363,0.0804,0.385,149.931
Hip Hop Is Deep,parkbreezy,13,0.897,0.51,5,-8.887,0,0.223,0.238,0.749,0.158,0.4,89.994
Hip Hop,Bizarre,26,0.857,0.866,7,-2.846,1,0.285,0.131,0.000222,0.137,0.891,89.998
Montagem Hip Hop do Gw,Mc Gw,0,0.761,0.561,11,-3.556,0,0.114,0.613,0.893,0.103,0.66,74.954
Beautiful,Snoop Dogg,17,0.893,0.74,11,-4.936,0,0.133,0.298,0.0,0.0881,0.963,101.024
Hip Hop,"Royce Da 5'9""",27,0.717,0.714,1,-5.091,1,0.28,0.00877,0.0,0.0648,0.887,100.054
Hip Hopper (feat. Lil Yachty),Blac Youngsta,29,0.939,0.518,6,-8.141,0,0.434,0.00164,0.0,0.108,0.514,129.096
Hip-Hop Tournament,Stu Bangas,20,0.644,0.696,11,-11.174,0,0.266,0.359,0.000226,0.291,0.855,87.883
Hip Hop,LL COOL J,24,0.813,0.573,1,-10.176,1,0.271,0.222,0.0,0.284,0.837,88.07
Hip Hop,Young Mandrilo,15,0.81,0.732,0,-11.58,1,0.34,0.338,5.64e-05,0.101,0.753,93.572
Hip Hop,Donnie Six,18,0.929,0.68,2,-7.834,1,0.311,0.144,0.307,0.218,0.771,130.043
Hip Hop Hippies,The Dining Rooms,38,0.697,0.478,9,-13.435,1,0.257,0.696,0.818,0.109,0.175,159.957
